Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
902589,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Faucet Leaking- Door to Met Lab,Completed,PMDA,D58,C58,MT,2/7/2024 15:15,MSHBEH,2/19/2024,2/19/2024,2/19/2024 8:05,2/7/2024,,,MMOORE
902549,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Hydarulic oil Telus 22 is leaking,Released,PMDA,D19B,M04006,MT,2/7/2024 12:45,AVORA,5/15/2024,5/15/2024,,2/7/2024,,,LDAVIE
902342,Breakdown-Prodn Equip Cannot Run,Right coil leaking,Completed,PMDA,D15A,M07200,MT,2/6/2024 23:38,GSOUSA,2/6/2024,2/6/2024,2/6/2024 23:40,2/6/2024,,,
902298,Safety,M08522 Oil leak,Completed,PMDA,D61,M08522,MT,2/6/2024 17:36,SBATHURST,2/6/2024,2/6/2024,5/2/2024 14:12,2/6/2024,,,
901918,Breakdown-Prodn Equip Cannot Run,water leaking out of hose reel ,Completed,PMDA,D16C,M06150,MT,2/5/2024 5:19,LDAVIE,2/5/2024,2/5/2024,2/5/2024 5:21,2/5/2024,,,
901917,Breakdown-Prodn Equip Cannot Run,Leaking out coolant return pipe,Completed,PMDA,D16B,M05150,MT,2/5/2024 5:14,LDAVIE,2/5/2024,2/5/2024,2/5/2024 5:17,2/5/2024,,,
901379,Breakdown-Prodn Equip Cannot Run,CSI INTO INSPECT OIL LEAKAGE FROM COMPRESSOR SEAL,Completed,PMDA,D53,M08059,MT,2/1/2024 10:00,EHAMMILL,2/1/2024,2/1/2024,2/1/2024 10:03,2/1/2024,,,
901345,Breakdown-Prodn Equip Cannot Run,M09820 oil leak ,Completed,PMDA,D19A,M09820,MT,2/1/2024 5:40,MMOORE,2/5/2024,2/5/2024,2/5/2024 18:07,2/1/2024,,,RMALONEY
901340,Breakdown-Prodn Equip Cannot Run,hydraulic line leaking removal device,Completed,PMDA,D06,M02150,MT,2/1/2024 5:36,MMOORE,2/1/2024,2/1/2024,2/1/2024 5:40,2/1/2024,,,
900828,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",WATER LEAK,Released,PMDA,D19B,M04312,MT,1/30/2024 7:32,RAVI.NAIPAUL,5/14/2024,5/14/2024,,1/30/2024,,,RMALONEY
